    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:04 /sbin/init
      2 ?        S      0:00 [kthreadd]
      3 ?        S      0:00 [pool_workqueue_release]
      4 ?        I<     0:00 [kworker/R-rcu_g]
      5 ?        I<     0:00 [kworker/R-rcu_p]
      6 ?        I<     0:00 [kworker/R-slub_]
      7 ?        I<     0:00 [kworker/R-netns]
      9 ?        I<     0:00 [kworker/0:0H-events_highpri]
     12 ?        I<     0:00 [kworker/R-mm_pe]
     13 ?        I      0:00 [rcu_tasks_kthread]
     14 ?        I      0:00 [rcu_tasks_rude_kthread]
     15 ?        I      0:00 [rcu_tasks_trace_kthread]
     16 ?        S      0:00 [ksoftirqd/0]
     17 ?        I      0:00 [rcu_preempt]
     18 ?        S      0:00 [migration/0]
     19 ?        S      0:00 [idle_inject/0]
     20 ?        S      0:00 [cpuhp/0]
     21 ?        S      0:00 [cpuhp/1]
     22 ?        S      0:00 [idle_inject/1]
     23 ?        S      0:00 [migration/1]
     24 ?        S      0:00 [ksoftirqd/1]
     27 ?        S      0:00 [kdevtmpfs]
     28 ?        I<     0:00 [kworker/R-inet_]
     29 ?        S      0:00 [kauditd]
     31 ?        S      0:00 [khungtaskd]
     32 ?        S      0:00 [oom_reaper]
     34 ?        I<     0:00 [kworker/R-write]
     36 ?        S      0:00 [kcompactd0]
     37 ?        SN     0:00 [ksmd]
     38 ?        SN     0:00 [khugepaged]
     39 ?        I<     0:00 [kworker/R-kinte]
     40 ?        I<     0:00 [kworker/R-kbloc]
     41 ?        I<     0:00 [kworker/R-blkcg]
     42 ?        S      0:00 [irq/9-acpi]
     43 ?        I<     0:00 [kworker/R-tpm_d]
     44 ?        I<     0:00 [kworker/R-ata_s]
     45 ?        I<     0:00 [kworker/R-md]
     46 ?        I<     0:00 [kworker/R-md_bi]
     47 ?        I<     0:00 [kworker/R-edac-]
     48 ?        I<     0:00 [kworker/R-devfr]
     49 ?        S      0:00 [watchdogd]
     50 ?        I<     0:00 [kworker/0:1H-kblockd]
     51 ?        S      0:00 [kswapd0]
     52 ?        S      0:00 [ecryptfs-kthread]
     53 ?        I<     0:00 [kworker/R-kthro]
     54 ?        I<     0:00 [kworker/R-acpi_]
     55 ?        S      0:00 [scsi_eh_0]
     56 ?        I<     0:00 [kworker/R-scsi_]
     57 ?        S      0:00 [scsi_eh_1]
     58 ?        I<     0:00 [kworker/R-scsi_]
     62 ?        I<     0:00 [kworker/R-mld]
     63 ?        I<     0:00 [kworker/R-ipv6_]
     64 ?        I<     0:00 [kworker/1:1H-kblockd]
     71 ?        I<     0:00 [kworker/R-kstrp]
     73 ?        I<     0:00 [kworker/u5:0]
     78 ?        I<     0:00 [kworker/R-crypt]
     88 ?        I<     0:00 [kworker/R-charg]
    131 ?        I<     0:00 [kworker/R-hv_vm]
    132 ?        I<     0:00 [kworker/R-hv_vm]
    133 ?        I<     0:00 [kworker/R-hv_pr]
    134 ?        I<     0:00 [kworker/R-hv_su]
    158 ?        S      0:00 [scsi_eh_2]
    159 ?        I<     0:00 [kworker/R-scsi_]
    160 ?        S      0:00 [scsi_eh_3]
    161 ?        I<     0:00 [kworker/R-scsi_]
    162 ?        I<     0:00 [kworker/1:2H-kblockd]
    186 ?        I<     0:00 [kworker/R-kdmfl]
    212 ?        I<     0:00 [kworker/R-raid5]
    251 ?        S      0:00 [jbd2/dm-0-8]
    252 ?        I<     0:00 [kworker/R-ext4-]
    319 ?        S<s    0:00 /usr/lib/systemd/systemd-journald
    357 ?        I<     0:00 [kworker/R-kmpat]
    358 ?        I<     0:00 [kworker/R-kmpat]
    361 ?        SLsl   0:03 /sbin/multipathd -d -s
    375 ?        Ss     0:00 /usr/lib/systemd/systemd-udevd
